"Day Of Shift","Number of Shifts Worked","Average Hours Worked","Average Hourly Pay","Average Cash Tips","Average Total Income","Total Money Made"
Sunday,17,5.26,$52.05,$215.65,$273.94,$4657.06
Tuesday,10,5.95,$45.97,$207.70,$273.62,$2736.24
Friday,2,4.92,$55.23,$217.00,$271.44,$542.88
Monday,5,6.03,$38.82,$167.40,$234.23,$1171.16
Wednesday,17,5.58,$41.66,$170.65,$232.44,$3951.44
Thursday,1,3.00,$17.74,$20.00,$53.22,$53.22
